//
///////////////////////////////////////////EXTRASUNNY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
               0 0 0           99 99 99        255 255 255        255 255 255              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 61 53 30       127 64 64 64                  0                  0                  0               1.00
// 5 AM
            30 30 30           20 20 20        255 255 255        255 255 255              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 64 64 64       127 64 73 80                  0                  0                  0               1.00
// 6 AM
               0 0 0           20 20 20        255 255 255        255 255 255            50 5 50          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0              78.00              50.00               0.95            30 20 0              3 3 3       85 85 65 192       127 64 16 64       127 64 64 64                  0                  0                  0               1.00
// 7 AM
               0 0 0        133 133 133        255 255 255        255 255 255              0 0 0              0 0 0              5 0 0               0.95               0.95               0.95                200                  0                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192        64 64 64 64       127 64 64 64                  0                  0                  0               0.00
// Midday
               0 0 0              0 0 0        255 255 255        255 255 255              0 0 0              0 0 0              5 0 0               0.95               0.95               0.95                200                  0                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 44 44 44       127 33 64 64                234                  0                  0               0.00
// 7 PM
               0 0 0           20 20 20        255 255 255        255 255 255              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 64 64 64      127 64 146 64                  0                  0                  0               1.00
// 8 PM
               0 0 0           50 50 50        255 255 255        255 255 255              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 64 64 64       127 64 64 64                  0                  0                  0               1.00
// 10 PM
               0 0 0        190 180 180        255 255 255              1 1 1              5 5 5          255 255 0              5 0 0               0.95               0.95               0.95                200                100                  0             400.00             100.00               0.95            30 20 0              3 3 3       85 85 65 192       127 64 64 64       127 64 64 40                  0                  0                  0               1.00
